ENSP00000493376	A0A2U3U0J3
ENSP00000313776	Q30201
ENSP00000417404	Q30201
ENSP00000419725	Q6B0J5
ENSP00000337819	Q30201
ENSP00000420802	Q30201
ENSP00000404005	X6RH03
ENSP00000483237	P62807
ENSP00000489317	P62807
ENSP00000479461	P62805
ENSP00000366999	P68431
ENSP00000363155	F6U236
ENSP00000192788	Q6BDS2
ENSP00000244458	Q9BY11
ENSP00000439639	Q9BY11
ENSP00000484060	Q9BY11
ENSP00000497054	A0A3B3IS11
ENSP00000489311	A0A0U1RR32
ENSP00000433749	E9PJE9
ENSP00000432138	P78410
ENSP00000341094	P20671
ENSP00000348751	P78410
ENSP00000366937	P78410
ENSP00000380152	P78410
ENSP00000474533	S4R3N0
ENSP00000442687	P78410
ENSP00000380140	P78410
ENSP00000348924	P62807
ENSP00000437925	Q14833
ENSP00000363296	B7ZLU9
ENSP00000440556	Q14833
ENSP00000363292	Q14833
ENSP00000477466	Q14833
ENSP00000437730	Q14833
ENSP00000398456	Q14833
ENSP00000182527	Q15035
ENSP00000484789	P62805
ENSP00000211314	Q9Y6G1
ENSP00000420168	P09210
ENSP00000335620	P08263
ENSP00000360028	Q7RTV2
ENSP00000360007	Q5JW85
ENSP00000211122	Q16772
ENSP00000399142	Q5JW84
ENSP00000360002	O15217
ENSP00000359999	O15217
ENSP00000359998	O15217
ENSP00000394228	Q5JW88
ENSP00000476561	V9GYB0
ENSP00000402816	Q8WWU5
ENSP00000363091	Q8WWU5
ENSP00000308708	Q8WWU5
ENSP00000404479	A0A6E1WXZ9
ENSP00000478603	Q8WWU5
ENSP00000244645	Q8WWU5
ENSP00000363085	Q8WWU5
ENSP00000425995	Q8WWU5
ENSP00000415320	Q8WWU5
ENSP00000445633	P62807
ENSP00000303373	P04908
ENSP00000399888	P17096
ENSP00000288245	P17096
ENSP00000385693	P17096
ENSP00000308227	P17096
ENSP00000363230	P17096
ENSP00000353677	O00624
ENSP00000367081	O00624
ENSP00000489282	P68431
ENSP00000482271	P68431
ENSP00000489784	A0A2U3TZT1
ENSP00000417604	Q86T20
ENSP00000418062	Q86T20
ENSP00000378441	Q86T20
ENSP00000418884	Q86T20
ENSP00000353518	Q92625
ENSP00000497393	A0A3B3ISP1
ENSP00000363149	O95238
ENSP00000442715	O95238
ENSP00000408121	Q15544
ENSP00000354633	Q15544
ENSP00000497996	A0A3B3ITY8
ENSP00000497939	A0A3B3ITU5
ENSP00000363133	Q5TH58
ENSP00000363135	Q9H6K1
ENSP00000363138	Q9H6K1
ENSP00000476119	O95989
ENSP00000492441	A0A1W2PQS6
ENSP00000491891	A0A1W2PQS6
ENSP00000496022	A0A2R8Y7H1
ENSP00000495405	A0A2R8Y6L3
ENSP00000494440	P46783
ENSP00000494190	P46783
ENSP00000481646	P46783
ENSP00000363169	F6U211
ENSP00000495142	A0A2R8YFH6
ENSP00000497917	P46783
ENSP00000421103	D6RGY5
ENSP00000417472	Q8WVV5
ENSP00000265425	O00624
ENSP00000349143	Q8WVV5
ENSP00000337117	Q8WVV5
ENSP00000418857	C9IY66
ENSP00000419226	C9JWH2
ENSP00000419451	Q8WVV5
ENSP00000394241	Q8WVV5
ENSP00000399308	Q8WVV5
ENSP00000417511	C9JAJ6
ENSP00000418176	C9J8J5
ENSP00000422774	D6RAC0
ENSP00000423183	D6R9R9
ENSP00000421333	D6RGC0
ENSP00000244520	P09234
ENSP00000363129	A0A0A0MRR7
ENSP00000363130	Q5TAL2
ENSP00000274938	Q8IX30
ENSP00000417154	C9J4V1
ENSP00000418858	C9IY65
ENSP00000359977	Q9UK97
ENSP00000326968	Q9UK97
ENSP00000420536	C9JDZ9
ENSP00000244426	Q9UK97
ENSP00000349458	Q9UPZ9
ENSP00000263043	A0A7I2PIU1
ENSP00000477487	V9GZ74
ENSP00000244728	Q96P44
ENSP00000359855	Q96P44
ENSP00000359853	A6PVD9
ENSP00000359899	O43614
ENSP00000477548	O43614
ENSP00000244534	P16402
ENSP00000343636	Q6UXV0
ENSP00000244364	Q03001
ENSP00000400883	E9PHM6
ENSP00000307959	F6QMI7
ENSP00000359824	Q03001
ENSP00000354508	F8W9J4
ENSP00000244537	P62805
ENSP00000410481	Q06643
ENSP00000477870	Q99525
ENSP00000416113	Q06643
ENSP00000484095	P68431
ENSP00000393984	F6U6E2
ENSP00000399841	F6SXL5
ENSP00000405900	O00453
ENSP00000391929	O00453
ENSP00000365264	O00453
ENSP00000365267	Q5STB1
ENSP00000365278	O00453
ENSP00000339201	O00453
ENSP00000211921	Q5STB1
ENSP00000399869	Q5HYT5
ENSP00000365258	Q5STB1
ENSP00000365257	O00453
ENSP00000379418	F2Z2M1
ENSP00000365260	O00453
ENSP00000365254	O00453
ENSP00000303649	O00453
ENSP00000365261	O00453
ENSP00000379408	Q2HNT4
ENSP00000440728	A0A0A0MTI6
ENSP00000306640	Q9NYP7
ENSP00000359956	Q9NYP7
ENSP00000405245	F6S2B7
ENSP00000359951	Q9NYP7
ENSP00000259803	Q9NP62
ENSP00000495056	A0A2R8Y648
ENSP00000497574	P48506
ENSP00000482756	B4E2I4
ENSP00000495686	A0A2R8YEL6
ENSP00000424211	E1CEI4
ENSP00000366962	P62807
ENSP00000419106	E7EX64
ENSP00000363064	P36508
ENSP00000344097	P36508
ENSP00000417534	H7C4K4
ENSP00000366956	P62805
ENSP00000413079	Q96QC4
ENSP00000365201	P48634
ENSP00000365175	P48634
ENSP00000402410	H0Y615
ENSP00000479169	Q93079
ENSP00000482382	A0A024RCL3
ENSP00000319831	Q9H4E7
ENSP00000484638	P68431
ENSP00000414372	Q03181
ENSP00000413314	Q03181
ENSP00000353916	Q03181
ENSP00000337063	Q03181
ENSP00000310928	Q03181
ENSP00000342156	O14931
ENSP00000365241	O14931
ENSP00000365240	O14931
ENSP00000365239	O14931
ENSP00000489032	A0A0U1RQJ2
ENSP00000430472	H0YBX0
ENSP00000229769	Q9HB96
ENSP00000363018	P62906
ENSP00000345772	Q99594
ENSP00000345772	A0A1X7SBS4
ENSP00000492431	A0A7P0SNI2
ENSP00000319414	O00294
ENSP00000229771	O00294
ENSP00000477534	A0A087WT25
ENSP00000406765	Q5TGM7
ENSP00000442340	Q13451
ENSP00000441205	Q13451
ENSP00000444810	Q13451
ENSP00000349811	Q13451
ENSP00000417638	Q96RN1
ENSP00000378100	Q96RN1
ENSP00000347778	Q96RN1
ENSP00000362976	Q5T9G4
ENSP00000288065	Q5T9G4
ENSP00000362973	Q5T9G4
ENSP00000353346	Q8TAF8
ENSP00000362931	Q96SB4
ENSP00000354674	H3BLV9
ENSP00000391069	Q96SB4
ENSP00000353639	Q6UWE3
ENSP00000385898	Q6UWE3
ENSP00000362968	A2RUU4
ENSP00000396556	Q5T9G0
ENSP00000424170	D6RBF8
ENSP00000482919	A0A087WZW1
ENSP00000259938	P04118
ENSP00000483589	A0A087X0Q7
ENSP00000418965	C9IZY2
ENSP00000417676	C9J8R3
ENSP00000349596	O00635
ENSP00000419837	B4E0K5
ENSP00000229795	Q16539
ENSP00000229794	Q16539
ENSP00000421908	A0A0C4DGB2
ENSP00000338776	Q5STX8
ENSP00000365227	P55008
ENSP00000382103	Q29980
ENSP00000252229	Q29980
ENSP00000442345	F5H7Q8
ENSP00000365217	P55008
ENSP00000365321	O95670
ENSP00000302194	O95670
ENSP00000419698	O95670
ENSP00000390148	H0Y474
ENSP00000359942	Q9H511
ENSP00000384644	Q9H511
ENSP00000424068	D6RBM8
ENSP00000435952	E9PRR1
ENSP00000434102	E9PRX1
ENSP00000424323	D6RB98
ENSP00000420488	C9JMV8
ENSP00000308669	Q16539
ENSP00000367034	P62805
ENSP00000419141	E7EX54
ENSP00000244573	Q02539
ENSP00000211287	O15264
ENSP00000362871	O15264
ENSP00000350267	Q9ULD4
ENSP00000436504	E9PI60
ENSP00000362864	Q5R3E6
ENSP00000345419	Q9ULD4
ENSP00000362843	Q9Y603
ENSP00000484485	Q9Y603
ENSP00000481885	Q9Y603
ENSP00000440592	Q9Y603
ENSP00000342260	Q9Y603
ENSP00000486712	Q9Y603
ENSP00000341843	Q9Y603
ENSP00000434501	Q9ULD4
ENSP00000365318	Q9UBC1
ENSP00000365315	Q9UBC1
ENSP00000365315	A0A0A0MRT5
ENSP00000365316	Q9UBC1
ENSP00000365316	Q5STV6
ENSP00000359925	Q9BTT6
ENSP00000359919	Q5T0G3
ENSP00000362842	Q9Y603
ENSP00000427403	D6RIT4
ENSP00000481054	Q7Z6P3
ENSP00000410669	A8WI62
ENSP00000413655	A8WI61
ENSP00000391868	A0A0C4DG24
ENSP00000378072	Q8N8W4
ENSP00000341214	P22492
ENSP00000480826	P68431
ENSP00000321744	P62807
ENSP00000380180	P62807
ENSP00000419739	H0Y8C3
ENSP00000362718	Q9NZJ7
ENSP00000362730	Q9NZJ7
ENSP00000274963	Q7Z6J4
ENSP00000362590	Q9NU19
ENSP00000362578	O76064
ENSP00000418879	O76064
ENSP00000362608	P11309
ENSP00000354875	P46379
ENSP00000402856	P46379
ENSP00000365143	P46379
ENSP00000211379	P46379
ENSP00000365131	A0A7P0MQS5
ENSP00000422042	Q8NFP4
ENSP00000402584	Q8NFP4
ENSP00000498018	A0A3B3IU48
ENSP00000365362	P59942
ENSP00000482768	P38936
ENSP00000352316	Q6UWU4
ENSP00000409259	P38936
ENSP00000475947	Q6UWU4
ENSP00000244741	P38936
ENSP00000347322	Q6UWU4
ENSP00000384849	P38936
ENSP00000362789	Q6UWU4
ENSP00000362815	P38936
ENSP00000321116	Q8N8W4
ENSP00000373367	Q8N8W4
ENSP00000376885	Q9HCH3
ENSP00000244751	Q9HCH3
ENSP00000419944	Q8NFP0
ENSP00000349198	Q8N7C4
ENSP00000338164	Q8N7C4
ENSP00000414233	Q5T7F5
ENSP00000362550	Q8N1G2
ENSP00000417736	C9J858
ENSP00000418459	C9J624
ENSP00000412205	Q7Z5Y7
ENSP00000417126	C9J5B3
ENSP00000362836	Q7Z5Y7
ENSP00000419943	C9JY11
ENSP00000487872	A0A0J9YWA1
ENSP00000488125	A0A0J9YWU8
ENSP00000439118	Q7Z5Y7
ENSP00000418983	P0C671
ENSP00000497550	Q6UXB8
ENSP00000478888	Q6UXB8
ENSP00000362778	Q6UXB8
ENSP00000362507	Q9P0B6
ENSP00000421510	D6RFG6
ENSP00000362803	Q9Y3C6
ENSP00000427645	D6RHU8
ENSP00000229812	Q15208
ENSP00000431894	E9PJ12
ENSP00000423191	D6R9R6
ENSP00000425142	Q5VWP3
ENSP00000274897	Q5VWP3
ENSP00000359914	E2QRH6
ENSP00000427584	D6RHX6
ENSP00000426830	E9PCK9
ENSP00000426290	Q5VWP3
ENSP00000359913	Q5VWP3
ENSP00000421444	H0Y8L5
ENSP00000411917	E9PFJ4
ENSP00000413450	P01374
ENSP00000403495	P01374
ENSP00000425227	E9PE34
ENSP00000425338	E7ER40
ENSP00000424078	A0A1B0GX99
ENSP00000262043	Q92576
ENSP00000377048	Q92576
ENSP00000424694	E7EVH3
ENSP00000473534	Q93077
ENSP00000484841	P68431
ENSP00000367022	Q93077
ENSP00000417129	H7C4E8
ENSP00000483842	P04908
ENSP00000362820	P84103
ENSP00000482833	P84103
ENSP00000479106	P62805
ENSP00000427057	D6RD42
ENSP00000366974	P62805
ENSP00000482674	P33778
ENSP00000307705	P10412
ENSP00000289316	P58876
ENSP00000367008	P58876
ENSP00000339566	P16403
ENSP00000420010	O00481
ENSP00000289361	O00481
ENSP00000394937	E7EPR2
ENSP00000396684	O00481
ENSP00000399393	A6PVC0
ENSP00000427013	E9PFB8
ENSP00000406667	O00481
ENSP00000422841	D6R9X2
ENSP00000484658	P68431
ENSP00000429221	E7ERX3
ENSP00000404924	Q03001
ENSP00000431030	E7ETB9
ENSP00000359801	Q03001
ENSP00000393082	Q5T0V7
ENSP00000431003	Q6P0N6
ENSP00000359906	Q5T471
ENSP00000259782	Q9UJW2
ENSP00000424243	Q5T1H1
ENSP00000359655	Q5T1H1
ENSP00000359901	Q5T466
ENSP00000274901	Q8TB92
ENSP00000381654	Q8TB92
ENSP00000359887	B7Z212
ENSP00000424309	B7Z4D4
ENSP00000309737	Q8TB92
ENSP00000359782	Q5SZJ8
ENSP00000359781	Q5SZK0
ENSP00000359784	Q5SZJ8
ENSP00000421786	D6RAS1
ENSP00000421645	E9PH99
ENSP00000359744	Q5VVF0
ENSP00000427558	D6RIA1
ENSP00000359740	Q9Y4E5
ENSP00000350083	Q9Y4E5
ENSP00000359742	Q9Y4E5
ENSP00000359736	Q5VVE8
ENSP00000445507	F5H2N6
ENSP00000359768	Q9HCI6
ENSP00000359727	O95816
ENSP00000417610	Q9ULC3
ENSP00000320413	Q9ULC3
ENSP00000483201	P49643
ENSP00000485304	P49643
ENSP00000484105	P49643
ENSP00000281156	Q5VWX1
ENSP00000359693	Q5VVH2
ENSP00000431246	A0A0A0MTD2
ENSP00000359691	Q5TDP6
ENSP00000359692	Q5TDP6
ENSP00000479173	Q5TDP6
ENSP00000359685	A0A3F2YNX1
ENSP00000497588	Q93096
ENSP00000497431	A0A3B3ISR8
ENSP00000485687	Q93096
ENSP00000424197	D6RBF0
ENSP00000424723	D6RAV4
ENSP00000304078	Q5T0W9
ENSP00000412924	G5E9S9
ENSP00000359866	P22003
ENSP00000411083	F6S6P2
ENSP00000401031	F6WML8
ENSP00000365059	O95872
ENSP00000413561	F6U341
ENSP00000365065	O95872
ENSP00000391613	A0A1B0GX79
ENSP00000395307	A0A0A0MSL4
ENSP00000388244	F6X9W3
ENSP00000409349	F6QYZ9
ENSP00000411043	F6VEM6
ENSP00000395484	A0A0A0MSL5
ENSP00000391783	F6XTU0
ENSP00000365071	O95872
ENSP00000406302	F6U1F2
ENSP00000397978	X6REW1
ENSP00000365060	O95872
ENSP00000406436	F6UR09
ENSP00000410280	H0Y759
ENSP00000365057	O95872
ENSP00000396503	F6TC96
ENSP00000211936	Q99676
ENSP00000366636	Q99676
ENSP00000394856	F6WML8
ENSP00000404971	F6U341
ENSP00000366618	Q99880
ENSP00000287218	Q9H8U3
ENSP00000362489	E2QRF5
ENSP00000420240	C9JQ48
ENSP00000351589	P0C0S8
ENSP00000328484	Q99878
ENSP00000477907	Q99879
ENSP00000358160	P68431
ENSP00000347168	P62805
ENSP00000479794	P62805
ENSP00000482431	P0C0S8
ENSP00000483903	Q99877
ENSP00000475942	U3KQK0
ENSP00000323408	Q96Q07
ENSP00000418751	Q96Q07
ENSP00000497066	Q96Q07
ENSP00000415365	Q96Q07
ENSP00000482538	P0C0S8
ENSP00000330074	P16401
ENSP00000417234	C9J3Q8
ENSP00000419312	C9JVU4
ENSP00000244519	O00478
ENSP00000420147	C9JQT8
ENSP00000483283	P68431
ENSP00000417717	C9J877
ENSP00000355238	O00478
ENSP00000420339	C9JNZ3
ENSP00000419736	C9JZT5
ENSP00000419445	C9JUV8
ENSP00000480960	P62805
ENSP00000404349	F2Z2N5
ENSP00000483223	Q6U7Q0
ENSP00000230582	Q9NQE7
ENSP00000478899	Q6U7Q0
ENSP00000419728	Q6U7Q0
ENSP00000418897	Q6U7Q0
ENSP00000482607	Q6U7Q0
ENSP00000443909	Q7KYR7
ENSP00000312158	Q7KYR7
ENSP00000420447	C9JNC3
ENSP00000416945	Q7KYR7
ENSP00000419043	Q7KYR7
ENSP00000244513	Q13410
ENSP00000352119	P0C0S8
ENSP00000366798	O00479
ENSP00000481486	P62805
ENSP00000274849	Q9ULW3
ENSP00000349430	O60814
ENSP00000366679	Q96KK5
ENSP00000392726	Q96KW2
ENSP00000332750	Q15776
ENSP00000402948	Q15776
ENSP00000404074	O15535
ENSP00000252207	O15535
ENSP00000433402	O15535
ENSP00000436166	E9PQL7
ENSP00000366542	P49910
ENSP00000366527	Q9H4T2
ENSP00000362346	A0A9H3ZQQ3
ENSP00000229903	Q9NPB0
ENSP00000352252	P68431
ENSP00000352527	O95279
ENSP00000352627	P0C0S8
ENSP00000433307	E9PLJ4
ENSP00000475719	U3KQB2
ENSP00000433468	A0A0B4J224
ENSP00000476254	U3KQV4
ENSP00000477527	P23527
ENSP00000304419	Q9GZK3
ENSP00000419382	C9JVC1
ENSP00000362328	Q96T54
ENSP00000401271	Q96T54
ENSP00000362463	Q04760
ENSP00000244623	P58173
ENSP00000333363	A0A075B6F3
ENSP00000362375	Q8IU65
ENSP00000415331	H0Y7V4
ENSP00000352312	Q96JB1
ENSP00000362326	Q96T55
ENSP00000423842	D6RC57
ENSP00000362324	Q96T55
ENSP00000362353	P43220
ENSP00000418201	C9J8E4
ENSP00000415181	H7C418
ENSP00000481707	A0A024RCN4
ENSP00000345716	Q5M9Q1
ENSP00000481024	A0A087WXH0
ENSP00000485228	Q16670
ENSP00000484018	A0A024RCN4
ENSP00000484931	A0A087X2F1
ENSP00000479314	A0A087X2F1
ENSP00000481142	A0A087WXM4
ENSP00000478769	B4DMT1
ENSP00000366509	Q969J2
ENSP00000391498	Q96T55
ENSP00000259883	Q96JS3
ENSP00000244576	Q9UJN7
ENSP00000419498	C9JUF8
ENSP00000420301	C9JP13
ENSP00000476136	P06899
ENSP00000342886	P06899
ENSP00000483989	N0E472
ENSP00000365046	Q5SRQ6
ENSP00000365042	P67870
ENSP00000365025	P67870
ENSP00000365026	P67870
ENSP00000365040	Q5SRQ3
ENSP00000364992	Q5SQ64
ENSP00000391235	C9J423
ENSP00000398680	C9JBH3
ENSP00000413705	Q96LW9
ENSP00000380050	Q96LW9
ENSP00000480254	Q96LW9
ENSP00000390076	Q96LW9
ENSP00000402937	Q96LW9
ENSP00000345339	Q96LW9
ENSP00000407529	C9JUE1
ENSP00000389479	C9JPM5
ENSP00000412519	C9IYT1
ENSP00000416108	C9JIC2
ENSP00000379282	O95870
ENSP00000410347	O95870
ENSP00000364949	O95865
ENSP00000364945	O95865
ENSP00000364943	O95865
ENSP00000397466	O95865
ENSP00000397466	Q5SRR8
ENSP00000395759	O95865
ENSP00000395759	Q5SSV3
ENSP00000420212	P0C0L4
ENSP00000364578	P18615
ENSP00000396688	P0C0L4
ENSP00000364574	P18615
ENSP00000388400	P18615
ENSP00000414029	E9PD43
ENSP00000394340	A2ABK4
ENSP00000397914	A0A0A0MSN9
ENSP00000409389	A0A0A0MT02
ENSP00000418923	B4DQI1
ENSP00000417482	E9PDZ0
ENSP00000392322	P06681
ENSP00000299367	P06681
ENSP00000395683	P06681
ENSP00000410815	B4E1Z4
ENSP00000418996	E7ETN3
ENSP00000366404	P14373
ENSP00000366399	P14373
ENSP00000492893	Q9UGF5
ENSP00000366365	Q9UGF5
ENSP00000366384	Q5JNZ3
ENSP00000486884	E7ENC7
ENSP00000493269	Q9UGF6
ENSP00000366359	Q9UGF6
ENSP00000366336	Q9GZK4
ENSP00000380010	Q9GZK4
ENSP00000366340	Q9GZK4
ENSP00000366337	Q9GZK4
ENSP00000364985	O95868
ENSP00000364984	F6XWZ1
ENSP00000366380	Q9Y3N9
ENSP00000433207	G3V1A8
ENSP00000364978	O95867
ENSP00000364940	O00299
ENSP00000364934	O00299
ENSP00000364935	O00299
ENSP00000379229	O00299
ENSP00000479808	O00299
ENSP00000365081	O95445
ENSP00000365083	Q5SRP5
ENSP00000365085	O95445
ENSP00000419306	B7ZLJ5
ENSP00000364968	O95866
ENSP00000364963	O95866
ENSP00000364967	O95866
ENSP00000497720	O95866
ENSP00000364962	O95866
ENSP00000364972	O95866
ENSP00000364543	Q15477
ENSP00000365024	Q8NDX9
ENSP00000387322	H0Y6P8
ENSP00000366331	P35410
ENSP00000366378	O76000
ENSP00000364855	O43196
ENSP00000364892	O43196
ENSP00000364908	O43196
ENSP00000364903	O43196
ENSP00000406849	A2ABF1
ENSP00000386365	Q8NDX9
ENSP00000365076	O95873
ENSP00000406376	C9J6S7
ENSP00000411033	C9JAI0
ENSP00000402842	Q5SSR2
ENSP00000416225	C9JHB1
ENSP00000415040	C9JH14
ENSP00000392552	C9J1X2
ENSP00000493715	A0A2R8Y4D9
ENSP00000252211	Q9BRR0
ENSP00000366465	Q9BRR0
ENSP00000493312	Q9GZK6
ENSP00000366376	Q9GZK6
ENSP00000380023	Q9UGF7
ENSP00000366215	Q9UBS5
ENSP00000366211	Q9UBS5
ENSP00000366233	Q9UBS5
ENSP00000348248	Q9UBS5
ENSP00000411948	Q5SSQ6
ENSP00000413372	Q5SSQ6
ENSP00000364840	Q9Y334
ENSP00000477378	V9GZ37
ENSP00000364802	P0DMV8
ENSP00000394971	A2ABE9
ENSP00000366249	O15205
ENSP00000391933	F5GXS0
ENSP00000364505	O77932
ENSP00000415941	P0C0L5
ENSP00000337759	O77932
ENSP00000364498	O77932
ENSP00000364805	P34931
ENSP00000493463	P58182
ENSP00000485112	P58182
ENSP00000492961	A0A126GWT2
ENSP00000493439	A0A126GWT2
ENSP00000366374	O76001
ENSP00000492959	O95918
ENSP00000373136	O95918
ENSP00000364393	P22105
ENSP00000407685	P22105
ENSP00000496448	P22105
ENSP00000497649	A0A3B3ISX9
ENSP00000419572	E7EVC0
ENSP00000418561	E7EN87
ENSP00000415043	P08686
ENSP00000496625	P08686
ENSP00000366353	Q9GZK7
ENSP00000493093	Q9GZK7
ENSP00000366354	Q9GZK7
ENSP00000341883	Q9BRR0
ENSP00000364482	P49842
ENSP00000364480	P49842
ENSP00000418350	P49842
ENSP00000418350	C9J6S8
ENSP00000419755	Q9UBS5
ENSP00000419755	C9JZG6
ENSP00000417332	C9J342
ENSP00000493401	A0A126GWS4
ENSP00000366372	O76002
ENSP00000417405	Q16653
ENSP00000410866	Q16653
ENSP00000366115	Q16653
ENSP00000366085	Q16653
ENSP00000366091	Q16653
ENSP00000379932	Q16653
ENSP00000418090	E9PG44
ENSP00000420350	Q16653
ENSP00000409394	C9JTE0
ENSP00000366088	Q16653
ENSP00000366095	Q16653
ENSP00000379929	Q16653
ENSP00000481429	A0A087WY02
ENSP00000419119	Q96KK4
ENSP00000418259	A0A7I2S1M6
ENSP00000366080	Q9NU63
ENSP00000366057	P30511
ENSP00000259951	P30511
ENSP00000334263	P30511
ENSP00000397376	P30511
ENSP00000379873	P04439
ENSP00000366002	Q5SRN5
ENSP00000366005	P04439
ENSP00000365998	Q5SRN7
ENSP00000492789	A0A1W2PS24
ENSP00000365894	Q9UDY6
ENSP00000397073	Q9UDY6
ENSP00000486947	A0A0D9SFW8
ENSP00000365884	Q9C019
ENSP00000484001	A0A087X199
ENSP00000331111	Q9P1U0
ENSP00000365978	Q9P1U0
ENSP00000352333	Q9P1U0
ENSP00000365981	Q9P1U0
ENSP00000366024	Q5RJ85
ENSP00000353472	P17693
ENSP00000366014	P17693
ENSP00000366014	Q31611
ENSP00000366011	P17693
ENSP00000364347	Q99941
ENSP00000393419	H0Y7D7
ENSP00000364349	Q99941
ENSP00000418248	C9J7W4
ENSP00000364801	P0DMV9
ENSP00000364815	P26640
ENSP00000354608	Q9UMR5
ENSP00000378894	Q9UMR5
ENSP00000320528	Q9UMR5
ENSP00000364279	Q9UMR5
ENSP00000364285	Q9UMR5
ENSP00000364298	Q9UIM3
ENSP00000391879	Q12899
ENSP00000365963	O60927
ENSP00000395491	Q12899
ENSP00000365960	Q5SRK2
ENSP00000410446	Q12899
ENSP00000365956	Q5SRK2
ENSP00000365954	Q5SRK2
ENSP00000365949	Q5SRK2
ENSP00000365964	Q5SRK2
ENSP00000364292	A0A8Z5AAT7
ENSP00000211413	Q99946
ENSP00000401694	Q5JP22
ENSP00000333380	Q99944
ENSP00000378888	Q99944
ENSP00000396077	A2ABC7
ENSP00000365942	Q9H2S5
ENSP00000244360	Q9H2S5
ENSP00000398847	G8JLL2
ENSP00000409877	A2ABN7
ENSP00000364712	Q53GD3
ENSP00000229729	Q53GD3
ENSP00000379078	A2ABF9
ENSP00000364678	A2ABF8
ENSP00000364680	Q96KQ7
ENSP00000364687	Q96KQ7
ENSP00000364782	Q99519
ENSP00000364245	Q99943
ENSP00000378875	Q99943
ENSP00000337463	Q99943
ENSP00000378874	Q99943
ENSP00000364248	Q99943
ENSP00000378877	Q99943
ENSP00000364217	Q15109
ENSP00000398466	Q5SSZ3
ENSP00000364196	Q5SSZ2
ENSP00000364208	Q15109
ENSP00000364195	Q15109
ENSP00000387887	Q15109
ENSP00000364210	Q15109
ENSP00000364211	A8MS87
ENSP00000379797	Q9HCM9
ENSP00000413673	A2AE48
ENSP00000387530	Q5SPU2
ENSP00000365847	Q9HCM9
ENSP00000379796	Q9HCM9
ENSP00000485378	A0A096LP39
ENSP00000405928	A2AAZ5
ENSP00000365844	Q9HCM9
ENSP00000379800	Q9HCM9
ENSP00000406019	A2AAZ6
ENSP00000389946	A0A1B0GX77
ENSP00000365924	Q9BZY9
ENSP00000400920	A2AE50
ENSP00000444109	Q53GD3
ENSP00000364813	Q9Y333
ENSP00000413925	A2ABF4
ENSP00000379826	Q6P9F5
ENSP00000365914	Q6P9F5
ENSP00000308310	Q6P9F5
ENSP00000405498	A2AAZ3
ENSP00000397952	A2AAZ2
ENSP00000394768	A2AAZ4
ENSP00000403833	Q9H633
ENSP00000394320	Q9H633
ENSP00000397778	Q9H633
ENSP00000409799	Q9H633
ENSP00000365817	P13747
ENSP00000365806	P36915
ENSP00000404728	A2AB27
ENSP00000365744	P79522
ENSP00000365740	P79522
ENSP00000445389	B5A982
ENSP00000313603	Q8NE71
ENSP00000365728	Q8NE71
ENSP00000405512	Q5STZ8
ENSP00000440893	F5GYK6
ENSP00000365694	Q96QC0
ENSP00000372724	Q5SRR4
ENSP00000354305	O43309
ENSP00000380039	O43309
ENSP00000289788	Q3MJ62
ENSP00000354581	P59796
ENSP00000417364	A0A182DWH6
ENSP00000416561	P00751
ENSP00000391354	F2Z3N2
ENSP00000406190	Q8N6L6
ENSP00000419048	C9JYQ5
ENSP00000406121	A2ABG0
ENSP00000364163	Q99466
ENSP00000431199	Q5SRN2
ENSP00000435103	E9PLW3
ENSP00000390613	Q9UIR0
ENSP00000411164	C9J9T8
ENSP00000415517	Q5SRN2
ENSP00000364155	Q5SRN2
ENSP00000388434	F6UPS5
ENSP00000259873	Q9Y676
ENSP00000324222	Q5SQI0
ENSP00000365668	Q5SQI0
ENSP00000324459	Q5SQI0
ENSP00000365666	Q5SQI0
ENSP00000332374	Q5SQI0
ENSP00000327832	Q5SQI0
ENSP00000364677	Q9Y330
ENSP00000378786	P01903
ENSP00000364121	Q30118
ENSP00000364235	Q99942
ENSP00000364183	Q9Y4H4
ENSP00000436358	E9PIP3
ENSP00000364180	Q9Y4H4
ENSP00000403325	Q5ST52
ENSP00000432566	E9PQ85
ENSP00000478357	Q9Y4H5
ENSP00000364190	P40425
ENSP00000432814	E9PNQ4
ENSP00000443364	Q9UIR0
ENSP00000364114	Q30154
ENSP00000353099	P01911
ENSP00000382034	Q5Y7D6
ENSP00000382032	A2AAY8
ENSP00000382029	A2AAZ0
ENSP00000364080	Q5SU54
ENSP00000407332	Q5Y7D6
ENSP00000392398	O75715
ENSP00000419935	O75715
ENSP00000378767	P01909
ENSP00000364032	Q03519
ENSP00000437302	E9PMV2
ENSP00000391806	E7ENX8
ENSP00000364087	P01909
ENSP00000339398	P01909
ENSP00000364076	P01906
ENSP00000405797	F6UB03
ENSP00000293604	Q5SQH8
ENSP00000365656	Q5SQH8
ENSP00000365654	Q5SQH8
ENSP00000390431	P05538
ENSP00000396330	Q5SR05
ENSP00000410512	A2ADX3
ENSP00000415810	Q0P5T2
ENSP00000418154	H7C4U4
ENSP00000419460	H7C5B5
ENSP00000410195	Q5W0C6
ENSP00000427562	P42684
ENSP00000339209	P42684
ENSP00000423578	P42684
ENSP00000426831	P42684
ENSP00000356595	P42684
ENSP00000423413	P42684
ENSP00000424697	P42684
ENSP00000441356	P35610
ENSP00000356591	P35610
ENSP00000445315	P35610
